sample_id,sample_index,original_paired_use,original_group,semantic_status,temporal_status,stage2_visual_status,stage3_visual_status,visual_status,mapping_status,resolution_status,resolution_reason,candidate_only,production_written,usable_text,usable_audio_fraction,usable_visual_fraction,usable_trimodal_fraction,reason
-I_e4mIh0yE$_$1,17,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.8,0.98,1.0,0.8,semantic_time_and_visual_evidence_are_sufficient
-I_e4mIh0yE$_$3,18,1,no_alert,MATCH_STRONG,PARTIAL,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.68,0.82,1.0,0.62,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-MeTTeMJBNc$_$0,19,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.86,1.0,0.98,0.86,semantic_time_and_visual_evidence_are_sufficient
-MeTTeMJBNc$_$13,20,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.72,0.98,0.98,0.72,semantic_time_and_visual_evidence_are_sufficient
-MeTTeMJBNc$_$7,21,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,AMBIGUOUS,AMBIGUOUS,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.88,1.0,0.0,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-NFrJFQijFE$_$1,22,0,vision_no_face_and_text_audio,CONFLICT,NOT_APPLICABLE,missing,MISSING,MISSING,NOT_SUSPECTED,RESOLVED_MISSING,visual_modality_is_confirmed_naturally_missing,1,0,0.0,0.0,0.0,0.0,visual_modality_is_confirmed_naturally_missing
-NFrJFQijFE$_$2,23,0,vision_no_face_and_text_audio,CONFLICT,NOT_APPLICABLE,missing,MISSING,MISSING,NOT_SUSPECTED,RESOLVED_MISSING,visual_modality_is_confirmed_naturally_missing,1,0,0.0,0.0,0.0,0.0,visual_modality_is_confirmed_naturally_missing
-RfYyzHpjk4$_$11,24,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.74,0.98,0.94,0.74,semantic_time_and_visual_evidence_are_sufficient
-RfYyzHpjk4$_$2,25,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.84,1.0,1.0,0.84,semantic_time_and_visual_evidence_are_sufficient
-RfYyzHpjk4$_$8,26,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.82,1.0,0.96,0.78,semantic_time_and_visual_evidence_are_sufficient
-THoVjtIkeU$_$12,27,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.82,1.0,1.0,0.82,semantic_time_and_visual_evidence_are_sufficient
-THoVjtIkeU$_$2,28,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.72,1.0,1.0,0.72,semantic_time_and_visual_evidence_are_sufficient
-THoVjtIkeU$_$6,29,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.88,1.0,0.8,0.74,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-UUCSKoHeMA$_$0,30,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.78,1.0,0.98,0.78,semantic_time_and_visual_evidence_are_sufficient
-UacrmKiTn4$_$10,31,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.78,1.0,1.0,0.78,semantic_time_and_visual_evidence_are_sufficient
-UacrmKiTn4$_$4,32,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.8,1.0,1.0,0.8,semantic_time_and_visual_evidence_are_sufficient
-UuX1xuaiiE$_$0,33,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,AMBIGUOUS,AMBIGUOUS,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.68,0.98,0.0,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-UuX1xuaiiE$_$1,34,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,AMBIGUOUS,AMBIGUOUS,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.76,1.0,0.0,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-UuX1xuaiiE$_$3,35,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.72,1.0,0.88,0.7,semantic_time_and_visual_evidence_are_sufficient
-UuX1xuaiiE$_$6,36,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.8,1.0,1.0,0.8,semantic_time_and_visual_evidence_are_sufficient
-a55Q6RWvTA$_$3,37,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.96,1.0,1.0,0.96,semantic_time_and_visual_evidence_are_sufficient
-aNfi7CP8vM$_$7,38,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.74,1.0,1.0,0.74,semantic_time_and_visual_evidence_are_sufficient
-aqamKhZ1Ec$_$0,39,0,text_audio_only_single_episode,MATCH_STRONG,PARTIAL,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.0,0.86,1.0,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-dxfTGcXJoc$_$0,40,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.96,1.0,0.8,0.78,semantic_time_and_visual_evidence_are_sufficient
-dxfTGcXJoc$_$1,41,0,identity_only,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.94,1.0,1.0,0.94,semantic_time_and_visual_evidence_are_sufficient
-dxfTGcXJoc$_$2,42,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.96,1.0,1.0,0.96,semantic_time_and_visual_evidence_are_sufficient
-dxfTGcXJoc$_$6,43,0,identity_only,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.94,1.0,1.0,0.94,semantic_time_and_visual_evidence_are_sufficient
-egA8-b7-3M$_$1,44,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.86,1.0,1.0,0.86,semantic_time_and_visual_evidence_are_sufficient
-egA8-b7-3M$_$13,45,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.7,0.98,1.0,0.7,semantic_time_and_visual_evidence_are_sufficient
-egA8-b7-3M$_$16,46,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.84,1.0,1.0,0.84,semantic_time_and_visual_evidence_are_sufficient
-egA8-b7-3M$_$17,47,1,no_alert,MATCH_STRONG,PARTIAL,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.7,0.68,1.0,0.52,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-egA8-b7-3M$_$18,48,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.9,1.0,1.0,0.9,semantic_time_and_visual_evidence_are_sufficient
-egA8-b7-3M$_$20,49,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.84,0.98,1.0,0.84,semantic_time_and_visual_evidence_are_sufficient
-egA8-b7-3M$_$26,50,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.84,1.0,0.96,0.8,semantic_time_and_visual_evidence_are_sufficient
-egA8-b7-3M$_$6,51,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.78,1.0,1.0,0.78,semantic_time_and_visual_evidence_are_sufficient
-egA8-b7-3M$_$9,52,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.78,0.98,1.0,0.78,semantic_time_and_visual_evidence_are_sufficient
-hnBHBN8p5A$_$6,53,0,identity_and_text_audio,CONFLICT,NOT_APPLICABLE,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.0,0.0,0.0,0.0,target_visual_identity_remains_unresolved
-hnBHBN8p5A$_$7,54,0,identity_and_text_audio,CONFLICT,NOT_APPLICABLE,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.0,0.0,0.0,0.0,target_visual_identity_remains_unresolved
-iRBcNs9oI8$_$3,55,0,text_audio_only_single_episode,UNRESOLVED,NOT_APPLICABLE,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,MAPPING_WEAK,UNRESOLVED,clip_mapping_evidence_is_not_stable_enough,1,0,0.0,0.0,0.98,0.0,clip_mapping_evidence_is_not_stable_enough
-iRBcNs9oI8$_$6,56,0,text_audio_only_single_episode,UNRESOLVED,NOT_APPLICABLE,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,MAPPING_STRONG,RESOLVED_CONFLICT,stable_off_diagonal_mapping_evidence_has_explicit_safe_mask_action,1,0,0.0,0.0,1.0,0.0,stable_off_diagonal_mapping_evidence_has_explicit_safe_mask_action
-iRBcNs9oI8$_$7,57,0,text_audio_only_single_episode,CONFLICT,NOT_APPLICABLE,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_CONFLICT,semantic_or_mapping_conflict_has_explicit_safe_mask_action,1,0,0.0,0.0,1.0,0.0,semantic_or_mapping_conflict_has_explicit_safe_mask_action
-iRBcNs9oI8$_$8,58,0,text_audio_only_single_episode,CONFLICT,NOT_APPLICABLE,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_CONFLICT,semantic_or_mapping_conflict_has_explicit_safe_mask_action,1,0,0.0,0.0,0.98,0.0,semantic_or_mapping_conflict_has_explicit_safe_mask_action
-iRBcNs9oI8$_$9,59,0,identity_and_text_audio,CONFLICT,NOT_APPLICABLE,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.0,0.0,0.0,0.0,target_visual_identity_remains_unresolved
-lzEya4AM_4$_$5,60,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.82,1.0,1.0,0.82,semantic_time_and_visual_evidence_are_sufficient
-lzEya4AM_4$_$6,61,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.96,1.0,0.94,0.9,semantic_time_and_visual_evidence_are_sufficient
-mJ2ud6oKI8$_$1,62,0,vision_no_face_and_text_audio,UNRESOLVED,NOT_APPLICABLE,missing,MISSING,MISSING,MAPPING_UNRESOLVED,RESOLVED_MISSING,visual_modality_is_confirmed_naturally_missing,1,0,0.0,0.0,0.0,0.0,visual_modality_is_confirmed_naturally_missing
-mJ2ud6oKI8$_$2,63,0,identity_and_text_audio,CONFLICT,NOT_APPLICABLE,unresolved,AMBIGUOUS,AMBIGUOUS,NOT_SUSPECTED,RESOLVED_CONFLICT,semantic_or_mapping_conflict_has_explicit_safe_mask_action,1,0,0.0,0.0,0.0,0.0,semantic_or_mapping_conflict_has_explicit_safe_mask_action
-mJ2ud6oKI8$_$6,64,0,text_audio_only_single_episode,UNRESOLVED,NOT_APPLICABLE,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,UNRESOLVED,semantic_pairing_remains_unresolved,1,0,0.0,0.0,1.0,0.0,semantic_pairing_remains_unresolved
-mJ2ud6oKI8$_$8,65,0,text_audio_only_single_episode,UNRESOLVED,NOT_APPLICABLE,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,UNRESOLVED,semantic_pairing_remains_unresolved,1,0,0.0,0.0,1.0,0.0,semantic_pairing_remains_unresolved
-mJ2ud6oKI8$_$9,66,0,identity_and_text_audio,CONFLICT,NOT_APPLICABLE,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.0,0.0,0.0,0.0,target_visual_identity_remains_unresolved
-mqbVkbCndg$_$0,67,1,no_alert,MATCH_STRONG,PARTIAL,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.9,0.8,1.0,0.78,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-qDkUB0GgYY$_$6,68,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.78,1.0,1.0,0.78,semantic_time_and_visual_evidence_are_sufficient
-ri04Z7vwnc$_$0,69,0,vision_no_face_and_text_audio,CONFLICT,NOT_APPLICABLE,missing,MISSING,MISSING,NOT_SUSPECTED,RESOLVED_MISSING,visual_modality_is_confirmed_naturally_missing,1,0,0.0,0.0,0.0,0.0,visual_modality_is_confirmed_naturally_missing
-ri04Z7vwnc$_$2,70,0,text_audio_only_single_episode,UNRESOLVED,NOT_APPLICABLE,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,MAPPING_UNRESOLVED,UNRESOLVED,clip_mapping_evidence_is_not_stable_enough,1,0,0.0,0.0,0.34,0.0,clip_mapping_evidence_is_not_stable_enough
-ri04Z7vwnc$_$5,71,0,text_audio_only_single_episode,CONFLICT,NOT_APPLICABLE,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_CONFLICT,semantic_or_mapping_conflict_has_explicit_safe_mask_action,1,0,0.0,0.0,1.0,0.0,semantic_or_mapping_conflict_has_explicit_safe_mask_action
-s9qJ7ATP7w$_$0,72,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.88,0.98,0.0,0.0,target_visual_identity_remains_unresolved
-s9qJ7ATP7w$_$1,73,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.68,0.98,0.24,0.1,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-s9qJ7ATP7w$_$4,74,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.72,0.98,0.32,0.1,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-s9qJ7ATP7w$_$5,75,1,no_alert,MATCH_STRONG,PARTIAL,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.8,0.76,1.0,0.68,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-s9qJ7ATP7w$_$6,76,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.58,0.94,0.62,0.42,semantic_time_and_visual_evidence_are_sufficient
-s9qJ7ATP7w$_$7,77,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.86,1.0,0.0,0.0,target_visual_identity_remains_unresolved
-s9qJ7ATP7w$_$8,78,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.7,0.98,0.18,0.1,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked
-t217m2on-s$_$2,79,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.74,1.0,1.0,0.74,semantic_time_and_visual_evidence_are_sufficient
-t217m2on-s$_$7,80,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.92,1.0,1.0,0.92,semantic_time_and_visual_evidence_are_sufficient
-tANM6ETl_M$_$3,81,0,identity_only,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.88,1.0,0.96,0.84,semantic_time_and_visual_evidence_are_sufficient
-tPCytz4rww$_$10,82,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.8,1.0,1.0,0.8,semantic_time_and_visual_evidence_are_sufficient
-tPCytz4rww$_$11,83,1,no_alert,MATCH_WEAK,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.82,1.0,1.0,0.82,semantic_time_and_visual_evidence_are_sufficient
