sample_id,cluster_id,positive_window_count,positive_duration,median_positive_logit,max_logit,positive_window_fraction,anchor_component_count,anchored_components
-UuX1xuaiiE$_$1,7,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$1,8,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$3,0,2,0.5,0.3098624274134636,0.34554243087768555,0.13333333333333333,1,[0]
-UuX1xuaiiE$_$3,1,0,0.0,,,0.0,0,[]
-UuX1xuaiiE$_$6,0,9,2.25,0.15346767008304596,0.8178265392780304,0.2727272727272727,1,[0]
-dxfTGcXJoc$_$1,0,59,14.75,1.0998499393463135,2.550737142562866,0.9076923076923077,1,[0]
-dxfTGcXJoc$_$6,0,47,11.75,1.279388964176178,2.284109354019165,0.9215686274509803,1,[0]
-hnBHBN8p5A$_$6,0,0,0.0,,,0.0,0,[]
-hnBHBN8p5A$_$6,1,0,0.0,,,0.0,0,[]
-hnBHBN8p5A$_$6,2,0,0.0,,,0.0,0,[]
-hnBHBN8p5A$_$6,3,0,0.0,,,0.0,0,[]
-hnBHBN8p5A$_$7,0,0,0.0,,,0.0,0,[]
-hnBHBN8p5A$_$7,1,0,0.0,,,0.0,0,[]
-hnBHBN8p5A$_$7,2,0,0.0,,,0.0,0,[]
-hnBHBN8p5A$_$7,3,0,0.0,,,0.0,0,[]
-iRBcNs9oI8$_$9,0,0,0.0,,,0.0,0,[]
-lzEya4AM_4$_$6,0,35,8.75,0.7146871089935303,1.7882095575332642,0.5833333333333334,1,[0]
-mJ2ud6oKI8$_$2,0,0,0.0,,,0.0,0,[]
-mJ2ud6oKI8$_$2,1,0,0.0,,,0.0,0,[]
-mJ2ud6oKI8$_$9,0,0,0.0,,,0.0,0,[]
-s9qJ7ATP7w$_$0,0,0,0.0,,,0.0,0,[]
-s9qJ7ATP7w$_$0,1,0,0.0,,,0.0,0,[]
-s9qJ7ATP7w$_$1,0,4,1.0,0.3554835468530655,0.44469642639160156,0.2222222222222222,1,[0]
-s9qJ7ATP7w$_$1,1,0,0.0,,,0.0,0,[]
-s9qJ7ATP7w$_$4,0,3,0.75,0.7925064563751221,0.8453328609466553,0.375,1,[0]
-s9qJ7ATP7w$_$4,1,0,0.0,,,0.0,0,[]
-s9qJ7ATP7w$_$4,2,0,0.0,,,0.0,0,[]
-s9qJ7ATP7w$_$7,0,0,0.0,,,0.0,0,[]
-s9qJ7ATP7w$_$7,1,0,0.0,,,0.0,0,[]
-s9qJ7ATP7w$_$8,0,2,0.5,0.663782574236393,1.1534878015518188,0.14285714285714285,0,[]
-tANM6ETl_M$_$3,0,21,5.25,1.013060450553894,2.275484561920166,0.7777777777777778,1,[0]
-tANM6ETl_M$_$3,1,0,0.0,,,0.0,0,[]
-wMB_hJL-3o$_$7,0,21,5.25,1.1935495138168335,2.459986448287964,0.84,1,[0]
-wMB_hJL-3o$_$7,1,0,0.0,,,0.0,0,[]
-wMB_hJL-3o$_$7,2,0,0.0,,,0.0,0,[]
-wMB_hJL-3o$_$7,3,0,0.0,,,0.0,0,[]
-wny0OAz3g8$_$0,0,11,2.75,0.6712461113929749,1.1158599853515625,0.7857142857142857,1,[0]
-wny0OAz3g8$_$0,1,0,0.0,,,0.0,0,[]
-wny0OAz3g8$_$0,2,0,0.0,,,0.0,0,[]
-wny0OAz3g8$_$1,0,26,6.5,0.8226041197776794,1.440844178199768,0.9285714285714286,1,[0]
-wny0OAz3g8$_$1,1,0,0.0,,,0.0,0,[]
-wny0OAz3g8$_$2,0,21,5.25,0.7865428924560547,1.7945293188095093,0.7777777777777778,1,[0]
-wny0OAz3g8$_$2,1,0,0.0,,,0.0,0,[]
-wny0OAz3g8$_$2,2,0,0.0,,,0.0,0,[]
-wny0OAz3g8$_$3,0,16,4.0,1.12335804104805,1.9629927277565002,0.64,1,[0]
-wny0OAz3g8$_$5,0,25,6.25,2.4509267807006836,3.354109525680542,0.8928571428571429,1,[0]
-wny0OAz3g8$_$5,1,0,0.0,,,0.0,0,[]
-wny0OAz3g8$_$7,0,29,7.25,0.6741264760494232,1.8285175561904907,0.8787878787878788,1,[0]
-wny0OAz3g8$_$9,0,21,5.25,1.2688308954238892,2.320862054824829,0.84,1,[0]
-yRb-Jum7EQ$_$1,0,0,0.0,,,0.0,0,[]
-yRb-Jum7EQ$_$1,1,0,0.0,,,0.0,0,[]
-yRb-Jum7EQ$_$5,0,5,1.25,0.29461678862571716,0.8719084858894348,0.09433962264150944,1,[0]
-yRb-Jum7EQ$_$5,1,0,0.0,,,0.0,0,[]
