sample_id,first_pts_difference_s,terminal_difference_s
-UuX1xuaiiE$_$6,0.0,-0.1561678004535149
-a55Q6RWvTA$_$3,0.0,-0.0500453514739227
-aNfi7CP8vM$_$7,0.0,-0.1289795918367335
-aqamKhZ1Ec$_$0,0.0,-0.1098412698412687
-dxfTGcXJoc$_$0,0.0,-0.1229931972789089
-dxfTGcXJoc$_$1,0.0,-0.1152154195011334
-dxfTGcXJoc$_$2,0.0,-0.0334920634920621
-dxfTGcXJoc$_$6,0.0,-0.1049206349206333
-egA8-b7-3M$_$1,0.0,-0.0771201814058937
-egA8-b7-3M$_$13,0.0,-0.1428117913832194
-egA8-b7-3M$_$16,0.0,-0.0503401360544222
-egA8-b7-3M$_$17,0.0,-0.1714512471655327
-egA8-b7-3M$_$18,0.0,-0.100975056689343
-egA8-b7-3M$_$20,0.0,-0.1589342403628117
-egA8-b7-3M$_$26,0.0,-0.0794557823129258
-egA8-b7-3M$_$6,0.0,-0.0502494331065763
-egA8-b7-3M$_$9,0.0,-0.130566893424036
-hnBHBN8p5A$_$6,0.0,-0.0485886621315199
-hnBHBN8p5A$_$7,0.0,-0.0320952380952377
-iRBcNs9oI8$_$3,0.0,-0.067368707482994
-iRBcNs9oI8$_$6,0.0,-0.0491251700680273
-iRBcNs9oI8$_$7,0.0,-0.0650190476190486
-iRBcNs9oI8$_$8,0.0,-0.0487015873015881
-iRBcNs9oI8$_$9,0.0,-0.0293410430839005
-lzEya4AM_4$_$5,0.0,-0.0969614512471652
-lzEya4AM_4$_$6,0.0,-0.0263265306122431
-mJ2ud6oKI8$_$1,0.0,-0.0182208616780048
-mJ2ud6oKI8$_$2,0.0,-0.0040219954648534
-mJ2ud6oKI8$_$6,0.0,-0.0074487528344668
-mJ2ud6oKI8$_$8,0.0,0.0005045351473915
-mJ2ud6oKI8$_$9,0.0,-0.0982471655328804
-mqbVkbCndg$_$0,0.0,-0.1145124716553294
-qDkUB0GgYY$_$6,0.0,-0.0520181405895687
-ri04Z7vwnc$_$0,0.0,-0.0312013605442174
-ri04Z7vwnc$_$2,0.0,-0.0926213151927441
-ri04Z7vwnc$_$5,0.0,-0.0637832199546486
-s9qJ7ATP7w$_$0,0.0,-0.1560997732426301
-s9qJ7ATP7w$_$1,0.0,-0.1228344671201817
-s9qJ7ATP7w$_$4,0.0,-0.1531065759637186
-s9qJ7ATP7w$_$5,0.0,-0.1354875283446706
-s9qJ7ATP7w$_$6,0.0,-0.1518594104308386
-s9qJ7ATP7w$_$7,0.0,-0.0947845804988656
-s9qJ7ATP7w$_$8,0.0,-0.0824489795918363
-t217m2on-s$_$2,0.0,-0.0364852607709744
-t217m2on-s$_$7,0.0,-0.1403174603174584
-tANM6ETl_M$_$3,0.0,-0.1297278911564632
-tPCytz4rww$_$10,0.0,-0.087868480725624
-tPCytz4rww$_$11,0.0,-0.0880952380952386
-tPCytz4rww$_$12,0.0,-0.0971428571428578
-tPCytz4rww$_$16,0.0,-0.0608390022675742
-tPCytz4rww$_$18,0.0,-0.0645351473922897
-uywlfIYOS8$_$4,0.0,-0.1522448979591839
-vxjVxOeScU$_$4,0.0,-0.0629478458049881
-wMB_hJL-3o$_$7,0.0,-0.0577551020408169
-wny0OAz3g8$_$0,0.0,-0.0593197278911561
-wny0OAz3g8$_$1,0.0,-0.0567800453514735
-wny0OAz3g8$_$2,0.0,-0.1439682539682536
-wny0OAz3g8$_$3,0.0,-0.033469387755102
-wny0OAz3g8$_$5,0.0,-0.1585941043083893
-wny0OAz3g8$_$7,0.0,-0.1561678004535149
-wny0OAz3g8$_$9,0.0,-0.1565079365079373
-yRb-Jum7EQ$_$1,0.0,-0.156916099773241
-yRb-Jum7EQ$_$5,0.0,-0.1221315192743759
-yRb-Jum7EQ$_$6,0.0,0.0425396825396831
