sample_id,reference_words,wer,error,count,rate
-s9qJ7ATP7w$_$8,12,0.4166666666666667,deletions,0,0.0
-t217m2on-s$_$2,12,0.3333333333333333,deletions,0,0.0
-t217m2on-s$_$7,45,0.1555555555555555,deletions,1,0.022222222222222223
-tANM6ETl_M$_$3,22,0.1363636363636363,deletions,2,0.09090909090909091
-tPCytz4rww$_$10,12,0.3333333333333333,deletions,0,0.0
-tPCytz4rww$_$11,17,0.2941176470588235,deletions,0,0.0
-tPCytz4rww$_$12,26,0.2692307692307692,deletions,0,0.0
-tPCytz4rww$_$16,16,0.375,deletions,0,0.0
-tPCytz4rww$_$18,16,0.1875,deletions,0,0.0
-uywlfIYOS8$_$4,18,0.6111111111111112,deletions,0,0.0
-vxjVxOeScU$_$4,21,0.2857142857142857,deletions,1,0.047619047619047616
-wMB_hJL-3o$_$7,22,0.0,deletions,0,0.0
-wny0OAz3g8$_$0,9,0.2222222222222222,deletions,0,0.0
-wny0OAz3g8$_$1,22,0.1818181818181818,deletions,0,0.0
-wny0OAz3g8$_$2,23,0.2608695652173913,deletions,0,0.0
-wny0OAz3g8$_$3,20,0.15,deletions,0,0.0
-wny0OAz3g8$_$5,20,0.35,deletions,0,0.0
-wny0OAz3g8$_$7,29,0.2413793103448276,deletions,0,0.0
-wny0OAz3g8$_$9,20,0.15,deletions,0,0.0
-yRb-Jum7EQ$_$1,49,1.2040816326530612,deletions,0,0.0
-yRb-Jum7EQ$_$5,25,1.2,deletions,0,0.0
-yRb-Jum7EQ$_$6,19,1.263157894736842,deletions,0,0.0
-3g5yACwYnA$_$13,15,0.4,insertions,4,0.26666666666666666
-3g5yACwYnA$_$2,14,0.6428571428571429,insertions,8,0.5714285714285714
-3g5yACwYnA$_$3,29,0.3103448275862069,insertions,6,0.20689655172413793
-3g5yACwYnA$_$9,23,0.3043478260869565,insertions,5,0.21739130434782608
-3nNcZdcdvU$_$5,18,0.1666666666666666,insertions,1,0.05555555555555555
-571d8cVauQ$_$0,12,0.4166666666666667,insertions,0,0.0
-571d8cVauQ$_$5,43,0.1162790697674418,insertions,3,0.06976744186046512
-6rXp3zJ3kc$_$8,34,0.1176470588235294,insertions,2,0.058823529411764705
-9y-fZ3swSY$_$0,22,0.5,insertions,4,0.18181818181818182
-9y-fZ3swSY$_$4,9,0.2222222222222222,insertions,0,0.0
-9y-fZ3swSY$_$8,12,0.0833333333333333,insertions,1,0.08333333333333333
-AUZQgSxyPQ$_$2,41,0.4390243902439024,insertions,1,0.024390243902439025
-HeZS2-Prhc$_$2,16,0.625,insertions,6,0.375
-HwX2H8Z4hY$_$2,7,0.4285714285714285,insertions,0,0.0
-HwX2H8Z4hY$_$5,9,0.2222222222222222,insertions,0,0.0
-HwX2H8Z4hY$_$6,7,0.2857142857142857,insertions,0,0.0
-HwX2H8Z4hY$_$9,22,0.8181818181818182,insertions,6,0.2727272727272727
-I_e4mIh0yE$_$1,18,0.1111111111111111,insertions,2,0.1111111111111111
-I_e4mIh0yE$_$3,22,0.4090909090909091,insertions,5,0.22727272727272727
-MeTTeMJBNc$_$0,21,0.0952380952380952,insertions,1,0.047619047619047616
-MeTTeMJBNc$_$13,14,0.0714285714285714,insertions,1,0.07142857142857142
-MeTTeMJBNc$_$7,31,0.032258064516129,insertions,0,0.0
-NFrJFQijFE$_$1,16,1.0,insertions,0,0.0
-NFrJFQijFE$_$2,18,1.0,insertions,0,0.0
-RfYyzHpjk4$_$11,17,0.3529411764705882,insertions,2,0.11764705882352941
-RfYyzHpjk4$_$2,25,0.4,insertions,1,0.04
-RfYyzHpjk4$_$8,17,0.1764705882352941,insertions,0,0.0
-THoVjtIkeU$_$12,39,0.1025641025641025,insertions,2,0.05128205128205128
-THoVjtIkeU$_$2,10,0.2,insertions,0,0.0
-THoVjtIkeU$_$6,30,0.1333333333333333,insertions,1,0.03333333333333333
-UUCSKoHeMA$_$0,18,0.3333333333333333,insertions,3,0.16666666666666666
-UacrmKiTn4$_$10,18,0.1111111111111111,insertions,2,0.1111111111111111
-UacrmKiTn4$_$4,14,0.3571428571428571,insertions,3,0.21428571428571427
-UuX1xuaiiE$_$0,9,0.2222222222222222,insertions,0,0.0
-UuX1xuaiiE$_$1,27,0.2962962962962963,insertions,3,0.1111111111111111
-UuX1xuaiiE$_$3,9,0.4444444444444444,insertions,2,0.2222222222222222
-UuX1xuaiiE$_$6,22,0.4545454545454545,insertions,2,0.09090909090909091
-a55Q6RWvTA$_$3,65,0.1538461538461538,insertions,1,0.015384615384615385
-aNfi7CP8vM$_$7,18,0.3888888888888889,insertions,6,0.3333333333333333
-aqamKhZ1Ec$_$0,14,1.0714285714285714,insertions,12,0.8571428571428571
-dxfTGcXJoc$_$0,45,0.3555555555555555,insertions,4,0.08888888888888889
-dxfTGcXJoc$_$1,36,0.0833333333333333,insertions,0,0.0
-dxfTGcXJoc$_$2,35,0.0857142857142857,insertions,0,0.0
-dxfTGcXJoc$_$6,28,0.1071428571428571,insertions,0,0.0
-egA8-b7-3M$_$1,26,0.4615384615384615,insertions,4,0.15384615384615385
-egA8-b7-3M$_$13,11,0.0909090909090909,insertions,0,0.0
-egA8-b7-3M$_$16,11,0.0,insertions,0,0.0
-egA8-b7-3M$_$17,16,0.0,insertions,0,0.0
-egA8-b7-3M$_$18,22,0.0,insertions,0,0.0
-egA8-b7-3M$_$20,20,0.0,insertions,0,0.0
-egA8-b7-3M$_$26,15,0.2,insertions,0,0.0
-egA8-b7-3M$_$6,12,0.0833333333333333,insertions,0,0.0
-egA8-b7-3M$_$9,10,0.0,insertions,0,0.0
-hnBHBN8p5A$_$6,13,0.9230769230769232,insertions,0,0.0
-hnBHBN8p5A$_$7,13,1.2307692307692308,insertions,3,0.23076923076923078
-iRBcNs9oI8$_$3,8,1.75,insertions,6,0.75
-iRBcNs9oI8$_$6,5,1.8,insertions,4,0.8
-iRBcNs9oI8$_$7,9,1.2222222222222223,insertions,2,0.2222222222222222
-iRBcNs9oI8$_$8,21,1.0476190476190477,insertions,1,0.047619047619047616
-iRBcNs9oI8$_$9,5,1.0,insertions,0,0.0
-lzEya4AM_4$_$5,19,0.1052631578947368,insertions,0,0.0
-lzEya4AM_4$_$6,43,0.0232558139534883,insertions,0,0.0
-mJ2ud6oKI8$_$1,13,1.0,insertions,0,0.0
-mJ2ud6oKI8$_$2,11,1.0,insertions,0,0.0
-mJ2ud6oKI8$_$6,5,1.4,insertions,2,0.4
-mJ2ud6oKI8$_$8,11,1.2727272727272727,insertions,3,0.2727272727272727
-mJ2ud6oKI8$_$9,22,1.0909090909090908,insertions,3,0.13636363636363635
-mqbVkbCndg$_$0,14,0.0,insertions,0,0.0
-qDkUB0GgYY$_$6,16,0.5625,insertions,5,0.3125
-ri04Z7vwnc$_$0,8,1.0,insertions,0,0.0
-ri04Z7vwnc$_$2,16,1.0,insertions,0,0.0
-ri04Z7vwnc$_$5,8,1.875,insertions,7,0.875
-s9qJ7ATP7w$_$0,24,0.2083333333333333,insertions,0,0.0
-s9qJ7ATP7w$_$1,11,0.4545454545454545,insertions,4,0.36363636363636365
-s9qJ7ATP7w$_$4,9,0.4444444444444444,insertions,4,0.4444444444444444
-s9qJ7ATP7w$_$5,19,0.1578947368421052,insertions,3,0.15789473684210525
-s9qJ7ATP7w$_$6,5,0.4,insertions,2,0.4
-s9qJ7ATP7w$_$7,28,0.5714285714285714,insertions,4,0.14285714285714285
-s9qJ7ATP7w$_$8,12,0.4166666666666667,insertions,4,0.3333333333333333
-t217m2on-s$_$2,12,0.3333333333333333,insertions,2,0.16666666666666666
-t217m2on-s$_$7,45,0.1555555555555555,insertions,2,0.044444444444444446
-tANM6ETl_M$_$3,22,0.1363636363636363,insertions,0,0.0
-tPCytz4rww$_$10,12,0.3333333333333333,insertions,3,0.25
-tPCytz4rww$_$11,17,0.2941176470588235,insertions,3,0.17647058823529413
-tPCytz4rww$_$12,26,0.2692307692307692,insertions,5,0.19230769230769232
-tPCytz4rww$_$16,16,0.375,insertions,2,0.125
-tPCytz4rww$_$18,16,0.1875,insertions,3,0.1875
-uywlfIYOS8$_$4,18,0.6111111111111112,insertions,9,0.5
-vxjVxOeScU$_$4,21,0.2857142857142857,insertions,1,0.047619047619047616
-wMB_hJL-3o$_$7,22,0.0,insertions,0,0.0
-wny0OAz3g8$_$0,9,0.2222222222222222,insertions,2,0.2222222222222222
-wny0OAz3g8$_$1,22,0.1818181818181818,insertions,4,0.18181818181818182
-wny0OAz3g8$_$2,23,0.2608695652173913,insertions,4,0.17391304347826086
-wny0OAz3g8$_$3,20,0.15,insertions,3,0.15
-wny0OAz3g8$_$5,20,0.35,insertions,5,0.25
-wny0OAz3g8$_$7,29,0.2413793103448276,insertions,4,0.13793103448275862
-wny0OAz3g8$_$9,20,0.15,insertions,3,0.15
-yRb-Jum7EQ$_$1,49,1.2040816326530612,insertions,15,0.30612244897959184
-yRb-Jum7EQ$_$5,25,1.2,insertions,5,0.2
-yRb-Jum7EQ$_$6,19,1.263157894736842,insertions,5,0.2631578947368421
