sample_id,start,end,visible_clusters,cluster_logits,active_cluster,window_status,av_sync_evidence,quality_flag
-3g5yACwYnA$_$2,5.75,6.25,[0],"{""0"":-0.34054257720708847}",,no_active,neutral,
-3g5yACwYnA$_$2,6.0,6.5,[0],"{""0"":0.818352222442627}",0,verified,support,
-3g5yACwYnA$_$2,6.25,6.75,[0],"{""0"":0.80684894323349}",0,verified,support,
-3g5yACwYnA$_$2,6.5,7.0,[0],"{""0"":0.7944612503051758}",0,verified,support,
-3g5yACwYnA$_$2,6.75,7.25,[0],"{""0"":0.4906855821609497}",0,verified,support,
-3g5yACwYnA$_$2,7.0,7.5,[0],"{""0"":-0.5167269110679626}",,no_active,neutral,
-3g5yACwYnA$_$2,7.25,7.75,[0],"{""0"":-1.1618250608444214}",,no_active,neutral,
-3g5yACwYnA$_$2,7.5,8.0,[0],"{""0"":-1.6625276803970337}",,no_active,neutral,
-3g5yACwYnA$_$2,7.75,8.25,[0],"{""0"":-1.5942686796188354}",,no_active,neutral,
-3g5yACwYnA$_$2,8.0,8.5,[0],"{""0"":-1.244766354560852}",,no_active,neutral,
-3g5yACwYnA$_$2,8.25,8.75,[0],"{""0"":-0.9330246448516846}",,no_active,neutral,
-3g5yACwYnA$_$2,8.5,9.0,[0],"{""0"":-0.9330246448516846}",,no_active,neutral,
-3g5yACwYnA$_$2,8.75,9.25,[0],"{""0"":-0.8078634738922119}",,no_active,neutral,
-3g5yACwYnA$_$2,9.0,9.366666666666667,[0],"{""0"":-0.7432153224945068}",,no_active,neutral,
-3g5yACwYnA$_$2,9.25,9.366666666666667,[0],"{""0"":null}",,no_active,neutral,
-3g5yACwYnA$_$3,0.0,0.5,[0],"{""0"":-0.3088715076446533}",,no_active,neutral,
-3g5yACwYnA$_$3,0.25,0.75,[0],"{""0"":-0.2789205312728882}",,no_active,neutral,
-3g5yACwYnA$_$3,0.5,1.0,[0],"{""0"":-0.5697300434112549}",,no_active,neutral,
-3g5yACwYnA$_$3,0.75,1.25,[0],"{""0"":-0.7934878766536713}",,no_active,neutral,
-3g5yACwYnA$_$3,1.0,1.5,[0],"{""0"":-0.7561948299407959}",,no_active,neutral,
-3g5yACwYnA$_$3,1.25,1.75,[0],"{""0"":-0.3267724812030792}",,no_active,neutral,
-3g5yACwYnA$_$3,1.5,2.0,[0],"{""0"":-0.31866899132728577}",,no_active,neutral,
-3g5yACwYnA$_$3,1.75,2.25,[0],"{""0"":-0.508168488740921}",,no_active,neutral,
-3g5yACwYnA$_$3,2.0,2.5,[0],"{""0"":0.06931217759847641}",0,verified,neutral,
-3g5yACwYnA$_$3,2.25,2.75,[0],"{""0"":0.7673912644386292}",0,verified,neutral,
-3g5yACwYnA$_$3,2.5,3.0,[0],"{""0"":0.8240408897399902}",0,verified,neutral,
-3g5yACwYnA$_$3,2.75,3.25,[0],"{""0"":0.008013080805540085}",0,verified,neutral,
-3g5yACwYnA$_$3,3.0,3.5,[0],"{""0"":-0.3867161273956299}",,no_active,neutral,
-3g5yACwYnA$_$3,3.25,3.75,[0],"{""0"":-0.7159114480018616}",,no_active,neutral,
-3g5yACwYnA$_$3,3.5,4.0,[0],"{""0"":-1.4086918830871582}",,no_active,neutral,
-3g5yACwYnA$_$3,3.75,4.25,[0],"{""0"":-1.3077910542488098}",,no_active,neutral,
-3g5yACwYnA$_$3,4.0,4.5,[0],"{""0"":-1.2310428619384766}",,no_active,neutral,
-3g5yACwYnA$_$3,4.25,4.75,[0],"{""0"":-1.1833205223083496}",,no_active,neutral,
-3g5yACwYnA$_$3,4.5,5.0,[0],"{""0"":-0.8761899471282959}",,no_active,neutral,
-3g5yACwYnA$_$3,4.75,5.25,[0],"{""0"":-0.508762925863266}",,no_active,neutral,
-3g5yACwYnA$_$3,5.0,5.5,[0],"{""0"":-0.776780366897583}",,no_active,neutral,
-3g5yACwYnA$_$3,5.25,5.75,[0],"{""0"":-0.955679714679718}",,no_active,neutral,
-3g5yACwYnA$_$3,5.5,6.0,[0],"{""0"":-0.06424251943826675}",,no_active,neutral,
-3g5yACwYnA$_$3,5.75,6.25,[0],"{""0"":-0.25009340792894363}",,no_active,neutral,
-3g5yACwYnA$_$3,6.0,6.5,[0],"{""0"":-1.0758427381515503}",,no_active,neutral,
-3g5yACwYnA$_$3,6.25,6.75,[0],"{""0"":-1.5592225790023804}",,no_active,neutral,
-3g5yACwYnA$_$3,6.5,7.0,[0],"{""0"":-1.5639280080795288}",,no_active,neutral,
-3g5yACwYnA$_$3,6.75,7.25,[0],"{""0"":-1.3530857563018799}",,no_active,neutral,
-3g5yACwYnA$_$3,7.0,7.5,[0],"{""0"":-1.195165753364563}",,no_active,neutral,
-3g5yACwYnA$_$3,7.25,7.75,[0],"{""0"":-1.199954628944397}",,no_active,neutral,
-3g5yACwYnA$_$3,7.5,8.0,[0],"{""0"":-1.13351571559906}",,no_active,neutral,
-3g5yACwYnA$_$3,7.75,8.25,[0],"{""0"":-0.9988754093647003}",,no_active,neutral,
-3g5yACwYnA$_$3,8.0,8.5,[0],"{""0"":-0.9750053882598877}",,no_active,neutral,
-3g5yACwYnA$_$3,8.25,8.75,[0],"{""0"":-0.9750053882598877}",,no_active,neutral,
-3g5yACwYnA$_$3,8.5,9.0,[0],"{""0"":-1.0696316957473755}",,no_active,neutral,
-3g5yACwYnA$_$3,8.75,9.25,[0],"{""0"":-1.0664135217666626}",,no_active,neutral,
-3g5yACwYnA$_$3,9.0,9.5,[0],"{""0"":-0.875051736831665}",,no_active,neutral,
-3g5yACwYnA$_$3,9.25,9.75,[0],"{""0"":-0.6421669125556946}",,no_active,neutral,
-3g5yACwYnA$_$3,9.5,10.0,[0],"{""0"":-0.5255298614501953}",,no_active,neutral,
-3g5yACwYnA$_$3,9.75,10.25,[0],"{""0"":-0.36122874915599823}",,no_active,neutral,
-3g5yACwYnA$_$3,10.0,10.5,[0],"{""0"":0.07846555858850479}",0,verified,neutral,
-3g5yACwYnA$_$3,10.25,10.75,[0],"{""0"":-0.006106098648160696}",,no_active,neutral,
-3g5yACwYnA$_$3,10.5,11.0,[0],"{""0"":-0.11510169506072998}",,no_active,neutral,
-3g5yACwYnA$_$3,10.75,11.25,[0],"{""0"":-0.16349629312753677}",,no_active,neutral,
-3g5yACwYnA$_$3,11.0,11.5,[0],"{""0"":-0.037576694041490555}",,no_active,neutral,
-3g5yACwYnA$_$3,11.25,11.75,[0],"{""0"":-0.036594003438949585}",,no_active,neutral,
-3g5yACwYnA$_$3,11.5,12.0,[0],"{""0"":-0.13083399832248688}",,no_active,neutral,
-3g5yACwYnA$_$3,11.75,12.25,[0],"{""0"":-0.13416649401187897}",,no_active,neutral,
-3g5yACwYnA$_$3,12.0,12.5,[0],"{""0"":-0.43544265627861023}",,no_active,neutral,
-3g5yACwYnA$_$3,12.25,12.75,[0],"{""0"":-0.9593353867530823}",,no_active,neutral,
-3g5yACwYnA$_$3,12.5,13.0,[0],"{""0"":-0.9732205271720886}",,no_active,neutral,
-3g5yACwYnA$_$3,12.75,13.25,[0],"{""0"":-0.8816014528274536}",,no_active,neutral,
-3g5yACwYnA$_$3,13.0,13.5,[0],"{""0"":-0.4410380423069}",,no_active,neutral,
-3g5yACwYnA$_$3,13.25,13.75,[0],"{""0"":-0.3869108259677887}",,no_active,neutral,
-3g5yACwYnA$_$3,13.5,14.0,[0],"{""0"":-0.5293521285057068}",,no_active,neutral,
-3g5yACwYnA$_$3,13.75,14.25,[0],"{""0"":0.16279269754886627}",0,verified,neutral,
-3g5yACwYnA$_$3,14.0,14.366666666666667,[0],"{""0"":1.0381633639335632}",0,verified,neutral,
-3g5yACwYnA$_$3,14.25,14.366666666666667,[0],"{""0"":0.9402542412281036}",0,verified,neutral,
-3g5yACwYnA$_$9,0.0,0.5,[0],"{""0"":-0.6804304122924805}",,no_active,neutral,
-3g5yACwYnA$_$9,0.25,0.75,[0],"{""0"":-0.353834867477417}",,no_active,neutral,
-3g5yACwYnA$_$9,0.5,1.0,[0],"{""0"":0.31165698170661926}",0,verified,support,
-3g5yACwYnA$_$9,0.75,1.25,[0],"{""0"":0.6237798929214478}",0,verified,support,
-3g5yACwYnA$_$9,1.0,1.5,[0],"{""0"":0.5839493274688721}",0,verified,support,
-3g5yACwYnA$_$9,1.25,1.75,[0],"{""0"":0.4215688705444336}",0,verified,support,
-3g5yACwYnA$_$9,1.5,2.0,[0],"{""0"":0.6067289113998413}",0,verified,support,
-3g5yACwYnA$_$9,1.75,2.25,[0],"{""0"":0.5690287351608276}",0,verified,support,
-3g5yACwYnA$_$9,2.0,2.5,[0],"{""0"":0.25146618485450745}",0,verified,support,
-3g5yACwYnA$_$9,2.25,2.75,[0],"{""0"":0.18146578967571259}",0,verified,support,
-3g5yACwYnA$_$9,2.5,3.0,[0],"{""0"":0.028871670365333557}",0,verified,support,
-3g5yACwYnA$_$9,2.75,3.25,[0],"{""0"":-0.16659263521432877}",,no_active,neutral,
-3g5yACwYnA$_$9,3.0,3.5,[0],"{""0"":-0.15923190116882324}",,no_active,neutral,
-3g5yACwYnA$_$9,3.25,3.75,[0],"{""0"":0.7799489498138428}",0,verified,support,
-3g5yACwYnA$_$9,3.5,4.0,[0],"{""0"":0.7643265724182129}",0,verified,support,
-3g5yACwYnA$_$9,3.75,4.25,[0],"{""0"":0.4518222212791443}",0,verified,support,
-3g5yACwYnA$_$9,4.0,4.5,[0],"{""0"":0.4406334459781647}",0,verified,support,
-3g5yACwYnA$_$9,4.25,4.75,[0],"{""0"":0.4406334459781647}",0,verified,support,
-3g5yACwYnA$_$9,4.5,5.0,[0],"{""0"":0.15188346803188324}",0,verified,support,
-3g5yACwYnA$_$9,4.75,5.25,[0],"{""0"":-0.6482382416725159}",,no_active,neutral,
-3g5yACwYnA$_$9,5.0,5.5,[0],"{""0"":-1.017676830291748}",,no_active,neutral,
-3g5yACwYnA$_$9,5.25,5.75,[0],"{""0"":-0.4132181704044342}",,no_active,neutral,
-3g5yACwYnA$_$9,5.5,6.0,[0],"{""0"":0.004446178674697876}",0,verified,support,
-3g5yACwYnA$_$9,5.75,6.25,[0],"{""0"":-0.07987895607948303}",,no_active,neutral,
-3g5yACwYnA$_$9,6.0,6.5,[0],"{""0"":-0.04845680668950081}",,no_active,neutral,
-3g5yACwYnA$_$9,6.25,6.75,[0],"{""0"":0.422974556684494}",0,verified,support,
-3g5yACwYnA$_$9,6.5,7.0,[0],"{""0"":0.5087211728096008}",0,verified,support,
-3g5yACwYnA$_$9,6.75,7.25,[0],"{""0"":0.4638138711452484}",0,verified,support,
-3g5yACwYnA$_$9,7.0,7.5,[0],"{""0"":0.42927077412605286}",0,verified,support,
-3g5yACwYnA$_$9,7.25,7.75,[0],"{""0"":-0.17433202266693115}",,no_active,neutral,
-3g5yACwYnA$_$9,7.5,8.0,[0],"{""0"":-0.44135260581970215}",,no_active,neutral,
-3g5yACwYnA$_$9,7.75,8.25,[0],"{""0"":-1.0255503356456757}",,no_active,neutral,
-3g5yACwYnA$_$9,8.0,8.5,[0],"{""0"":-1.9912015199661255}",,no_active,neutral,
-3g5yACwYnA$_$9,8.25,8.75,[0],"{""0"":-2.226390838623047}",,no_active,neutral,
-3g5yACwYnA$_$9,8.5,8.799999999999999,[0],"{""0"":-2.269618511199951}",,no_active,neutral,
-3g5yACwYnA$_$9,8.75,8.799999999999999,[],{},,missing,neutral,
-3nNcZdcdvU$_$5,0.0,0.5,[0],"{""0"":-0.8135197758674622}",,no_active,neutral,
-3nNcZdcdvU$_$5,0.25,0.75,[0],"{""0"":-0.5488806366920471}",,no_active,neutral,
-3nNcZdcdvU$_$5,0.5,1.0,[0],"{""0"":0.03406772017478943}",0,verified,support,
-3nNcZdcdvU$_$5,0.75,1.25,[0],"{""0"":0.2516219913959503}",0,verified,support,
-3nNcZdcdvU$_$5,1.0,1.5,[0],"{""0"":0.5051501393318176}",0,verified,support,
-3nNcZdcdvU$_$5,1.25,1.75,[0],"{""0"":0.3959284722805023}",0,verified,support,
-3nNcZdcdvU$_$5,1.5,2.0,[0],"{""0"":0.13849680125713348}",0,verified,support,
-3nNcZdcdvU$_$5,1.75,2.25,[0],"{""0"":0.7244439125061035}",0,verified,support,
-3nNcZdcdvU$_$5,2.0,2.5,[0],"{""0"":1.2554935216903687}",0,verified,support,
-3nNcZdcdvU$_$5,2.25,2.75,[0],"{""0"":0.11553239822387695}",0,verified,support,
-3nNcZdcdvU$_$5,2.5,3.0,[0],"{""0"":0.05990871414542198}",0,verified,support,
-3nNcZdcdvU$_$5,2.75,3.25,[0],"{""0"":0.6241997182369232}",0,verified,support,
-3nNcZdcdvU$_$5,3.0,3.5,[0],"{""0"":0.7473536133766174}",0,verified,support,
-3nNcZdcdvU$_$5,3.25,3.75,[0],"{""0"":0.3333715498447418}",0,verified,support,
-3nNcZdcdvU$_$5,3.5,4.0,[0],"{""0"":0.15086497366428375}",0,verified,support,
-3nNcZdcdvU$_$5,3.75,4.25,[0],"{""0"":-0.7522030174732208}",,no_active,neutral,
-3nNcZdcdvU$_$5,4.0,4.5,[0],"{""0"":-1.2252225875854492}",,no_active,neutral,
-3nNcZdcdvU$_$5,4.25,4.75,[0],"{""0"":-1.165763020515442}",,no_active,neutral,
-3nNcZdcdvU$_$5,4.5,5.0,[0],"{""0"":-1.0018103122711182}",,no_active,neutral,
-3nNcZdcdvU$_$5,4.75,5.25,[0],"{""0"":-0.6448063254356384}",,no_active,neutral,
-3nNcZdcdvU$_$5,5.0,5.5,[0],"{""0"":-0.6204208135604858}",,no_active,neutral,
-3nNcZdcdvU$_$5,5.25,5.75,[0],"{""0"":-0.5757439136505127}",,no_active,neutral,
-3nNcZdcdvU$_$5,5.5,6.0,[0],"{""0"":-0.23438771069049835}",,no_active,neutral,
-3nNcZdcdvU$_$5,5.75,6.25,[0],"{""0"":-0.017128136940300465}",,no_active,neutral,
-3nNcZdcdvU$_$5,6.0,6.5,[0],"{""0"":0.6157981753349304}",0,verified,support,
-3nNcZdcdvU$_$5,6.25,6.75,[0],"{""0"":1.4624501466751099}",0,verified,support,
-3nNcZdcdvU$_$5,6.5,7.0,[0],"{""0"":1.3226028680801392}",0,verified,support,
-3nNcZdcdvU$_$5,6.75,7.25,[0],"{""0"":0.0601853309199214}",0,verified,support,
-3nNcZdcdvU$_$5,7.0,7.5,[0],"{""0"":-0.3155335485935211}",,no_active,neutral,
-3nNcZdcdvU$_$5,7.25,7.75,[0],"{""0"":-1.1941090822219849}",,no_active,neutral,
-3nNcZdcdvU$_$5,7.5,7.866666666666666,[0],"{""0"":-1.35706627368927}",,no_active,neutral,
-3nNcZdcdvU$_$5,7.75,7.866666666666666,[0],"{""0"":-0.9115293622016907}",,no_active,neutral,
-571d8cVauQ$_$0,0.0,0.5,[0],"{""0"":-1.9300847053527832}",,no_active,neutral,
-571d8cVauQ$_$0,0.25,0.75,[0],"{""0"":-1.9331716895103455}",,no_active,neutral,
-571d8cVauQ$_$0,0.5,1.0,[0],"{""0"":-1.7011128664016724}",,no_active,neutral,
-571d8cVauQ$_$0,0.75,1.25,[0],"{""0"":-1.1030751466751099}",,no_active,neutral,
-571d8cVauQ$_$0,1.0,1.5,[0],"{""0"":-0.49680283665657043}",,no_active,neutral,
-571d8cVauQ$_$0,1.25,1.75,[0],"{""0"":-0.325544610619545}",,no_active,neutral,
-571d8cVauQ$_$0,1.5,2.0,[0],"{""0"":-0.5425562262535095}",,no_active,neutral,
-571d8cVauQ$_$0,1.75,2.25,[0],"{""0"":-0.37563177943229675}",,no_active,neutral,
-571d8cVauQ$_$0,2.0,2.5,[0],"{""0"":-0.1164635643362999}",,no_active,neutral,
-571d8cVauQ$_$0,2.25,2.75,[0],"{""0"":0.30592478811740875}",0,verified,support,
-571d8cVauQ$_$0,2.5,3.0,[0],"{""0"":0.15068727731704712}",0,verified,support,
-571d8cVauQ$_$0,2.75,3.25,[0],"{""0"":-0.021834680810570717}",,no_active,neutral,
-571d8cVauQ$_$0,3.0,3.5,[0],"{""0"":-0.021834680810570717}",,no_active,neutral,
-571d8cVauQ$_$0,3.25,3.75,[0],"{""0"":-0.6469835638999939}",,no_active,neutral,
-571d8cVauQ$_$0,3.5,4.0,[0],"{""0"":-1.0713906288146973}",,no_active,neutral,
-571d8cVauQ$_$0,3.75,4.25,[0],"{""0"":-1.1244945526123047}",,no_active,neutral,
-571d8cVauQ$_$0,4.0,4.5,[0],"{""0"":-1.0562825202941895}",,no_active,neutral,
-571d8cVauQ$_$0,4.25,4.75,[0],"{""0"":-1.271841287612915}",,no_active,neutral,
-571d8cVauQ$_$0,4.5,5.0,[0],"{""0"":-1.297133445739746}",,no_active,neutral,
-571d8cVauQ$_$0,4.75,5.166666666666666,[0],"{""0"":-1.2818886041641235}",,no_active,neutral,
-571d8cVauQ$_$0,5.0,5.166666666666666,[0],"{""0"":null}",,no_active,neutral,
-571d8cVauQ$_$5,0.0,0.5,[0],"{""0"":-1.0298266410827637}",,no_active,neutral,
-571d8cVauQ$_$5,0.25,0.75,[0],"{""0"":-1.4075403213500977}",,no_active,neutral,
-571d8cVauQ$_$5,0.5,1.0,[0],"{""0"":-1.3312788009643555}",,no_active,neutral,
-571d8cVauQ$_$5,0.75,1.25,[0],"{""0"":-1.3142691850662231}",,no_active,neutral,
-571d8cVauQ$_$5,1.0,1.5,[0],"{""0"":-1.3772211074829102}",,no_active,neutral,
-571d8cVauQ$_$5,1.25,1.75,[0],"{""0"":-1.3330483436584473}",,no_active,neutral,
-571d8cVauQ$_$5,1.5,2.0,[0],"{""0"":-1.2653721570968628}",,no_active,neutral,
-571d8cVauQ$_$5,1.75,2.25,[0],"{""0"":-1.4131752848625183}",,no_active,neutral,
-571d8cVauQ$_$5,2.0,2.5,[0],"{""0"":-1.6265236139297485}",,no_active,neutral,
-571d8cVauQ$_$5,2.25,2.75,[0],"{""0"":-1.6169384717941284}",,no_active,neutral,
-571d8cVauQ$_$5,2.5,3.0,[0],"{""0"":-1.3891125917434692}",,no_active,neutral,
-571d8cVauQ$_$5,2.75,3.25,[0],"{""0"":-0.5696797668933868}",,no_active,neutral,
-571d8cVauQ$_$5,3.0,3.5,[0],"{""0"":-0.5220945477485657}",,no_active,neutral,
-571d8cVauQ$_$5,3.25,3.75,[0],"{""0"":-0.8839636445045471}",,no_active,neutral,
-571d8cVauQ$_$5,3.5,4.0,[0],"{""0"":-0.9179310202598572}",,no_active,neutral,
-571d8cVauQ$_$5,3.75,4.25,[0],"{""0"":-0.7621733248233795}",,no_active,neutral,
-571d8cVauQ$_$5,4.0,4.5,[0],"{""0"":-0.7660751342773438}",,no_active,neutral,
-571d8cVauQ$_$5,4.25,4.75,[0],"{""0"":-0.9761905670166016}",,no_active,neutral,
-571d8cVauQ$_$5,4.5,5.0,[0],"{""0"":-1.041522741317749}",,no_active,neutral,
-571d8cVauQ$_$5,4.75,5.25,[0],"{""0"":-0.8494065999984741}",,no_active,neutral,
-571d8cVauQ$_$5,5.0,5.5,[0],"{""0"":-0.9163362383842468}",,no_active,neutral,
-571d8cVauQ$_$5,5.25,5.75,[0],"{""0"":-1.038514256477356}",,no_active,neutral,
-571d8cVauQ$_$5,5.5,6.0,[0],"{""0"":-1.0887762308120728}",,no_active,neutral,
-571d8cVauQ$_$5,5.75,6.25,[0],"{""0"":-1.1377875208854675}",,no_active,neutral,
-571d8cVauQ$_$5,6.0,6.5,[0],"{""0"":-1.3543086051940918}",,no_active,neutral,
-571d8cVauQ$_$5,6.25,6.75,[0],"{""0"":-1.4187817573547363}",,no_active,neutral,
-571d8cVauQ$_$5,6.5,7.0,[0],"{""0"":-1.4499717950820923}",,no_active,neutral,
-571d8cVauQ$_$5,6.75,7.25,[0],"{""0"":-1.567419171333313}",,no_active,neutral,
-571d8cVauQ$_$5,7.0,7.5,[0],"{""0"":-1.6549301147460938}",,no_active,neutral,
-571d8cVauQ$_$5,7.25,7.75,[0],"{""0"":-1.6904138326644897}",,no_active,neutral,
-571d8cVauQ$_$5,7.5,8.0,[0],"{""0"":-1.7272816896438599}",,no_active,neutral,
-571d8cVauQ$_$5,7.75,8.25,[0],"{""0"":-1.7127757668495178}",,no_active,neutral,
-571d8cVauQ$_$5,8.0,8.5,[0],"{""0"":-1.1879726648330688}",,no_active,neutral,
-571d8cVauQ$_$5,8.25,8.75,[0],"{""0"":-0.9995229840278625}",,no_active,neutral,
-571d8cVauQ$_$5,8.5,9.0,[0],"{""0"":-1.1965187788009644}",,no_active,neutral,
-571d8cVauQ$_$5,8.75,9.25,[0],"{""0"":-1.7827821969985962}",,no_active,neutral,
-571d8cVauQ$_$5,9.0,9.5,[0],"{""0"":-1.7570610046386719}",,no_active,neutral,
-571d8cVauQ$_$5,9.25,9.75,[0],"{""0"":-1.7421590089797974}",,no_active,neutral,
-571d8cVauQ$_$5,9.5,10.0,[0],"{""0"":-1.4627100229263306}",,no_active,neutral,
-571d8cVauQ$_$5,9.75,10.25,[0],"{""0"":-1.047445148229599}",,no_active,neutral,
-571d8cVauQ$_$5,10.0,10.5,[0],"{""0"":-1.1249728202819824}",,no_active,neutral,
-571d8cVauQ$_$5,10.25,10.75,[0],"{""0"":-1.3530759811401367}",,no_active,neutral,
-571d8cVauQ$_$5,10.5,11.0,[0],"{""0"":-1.3161967992782593}",,no_active,neutral,
-571d8cVauQ$_$5,10.75,11.25,[0],"{""0"":-1.1916147470474243}",,no_active,neutral,
-571d8cVauQ$_$5,11.0,11.5,[0],"{""0"":-1.114605188369751}",,no_active,neutral,
-571d8cVauQ$_$5,11.25,11.75,[0],"{""0"":-0.8495408892631531}",,no_active,neutral,
-571d8cVauQ$_$5,11.5,12.0,[0],"{""0"":-0.7454728484153748}",,no_active,neutral,
-571d8cVauQ$_$5,11.75,12.25,[0],"{""0"":-1.0063152015209198}",,no_active,neutral,
-571d8cVauQ$_$5,12.0,12.5,[0],"{""0"":-1.466317057609558}",,no_active,neutral,
-571d8cVauQ$_$5,12.25,12.75,[0],"{""0"":-1.5371208190917969}",,no_active,neutral,
-571d8cVauQ$_$5,12.5,13.0,[0],"{""0"":-1.5465153455734253}",,no_active,neutral,
-571d8cVauQ$_$5,12.75,13.25,[0],"{""0"":-1.2840431928634644}",,no_active,neutral,
-571d8cVauQ$_$5,13.0,13.5,[0],"{""0"":-0.7536324858665466}",,no_active,neutral,
-571d8cVauQ$_$5,13.25,13.75,[0],"{""0"":-0.4342806041240692}",,no_active,neutral,
-571d8cVauQ$_$5,13.5,14.0,[0],"{""0"":-0.6031951308250427}",,no_active,neutral,
-571d8cVauQ$_$5,13.75,14.25,[0],"{""0"":-1.2702662348747253}",,no_active,neutral,
-571d8cVauQ$_$5,14.0,14.5,[0],"{""0"":-1.4148626327514648}",,no_active,neutral,
-571d8cVauQ$_$5,14.25,14.75,[0],"{""0"":-1.3956538438796997}",,no_active,neutral,
-571d8cVauQ$_$5,14.5,15.0,[0],"{""0"":-1.278031587600708}",,no_active,neutral,
-571d8cVauQ$_$5,14.75,15.25,[0],"{""0"":-1.15077543258667}",,no_active,neutral,
