sample_id,original_identity_risk,original_no_face,visual_candidate_status,verified_visual_duration,ambiguous_duration,missing_duration,usable_fraction,talknet_is_primary_active_speaker_evidence,av_sync_role
-iRBcNs9oI8$_$3,0,0,partially_verified,3.25,2.355600000000001,0,0.5797773654916512,1,auxiliary_only
-iRBcNs9oI8$_$6,0,0,partially_verified,2.25,0.6195333333333335,0,0.7840996213089236,1,auxiliary_only
-iRBcNs9oI8$_$7,0,0,partially_verified,3.25,0.820733333333334,0,0.7983819459229294,1,auxiliary_only
-iRBcNs9oI8$_$8,0,0,partially_verified,5.0,3.0747333333333344,0,0.619215495248553,1,auxiliary_only
-iRBcNs9oI8$_$9,1,0,unresolved,0,2.9034000000000004,0.5,0.0,1,auxiliary_only
-lzEya4AM_4$_$5,0,0,partially_verified,5.5,2.166666666666666,0,0.7173913043478262,1,auxiliary_only
-lzEya4AM_4$_$6,1,0,partially_verified,8.75,6.016666666666666,0,0.5925507900677202,1,auxiliary_only
-mJ2ud6oKI8$_$1,0,1,missing,0,0,6.072733333333334,0.0,1,auxiliary_only
-mJ2ud6oKI8$_$2,1,0,unresolved,0,3.2057,2.5,0.0,1,auxiliary_only
-mJ2ud6oKI8$_$6,0,0,unresolved,0,2.2355666666666667,0,0.0,1,auxiliary_only
-mJ2ud6oKI8$_$8,0,0,partially_verified,1.5,2.671337868480725,0,0.3595968601187241,1,auxiliary_only
-mJ2ud6oKI8$_$9,1,0,unresolved,0,7.007000000000001,0,0.0,1,auxiliary_only
-mqbVkbCndg$_$0,0,0,partially_verified,4.75,1.75,0,0.7307692307692307,1,auxiliary_only
-qDkUB0GgYY$_$6,0,0,fully_verified,4.0,0.6666666666666661,0,0.8571428571428572,1,auxiliary_only
-ri04Z7vwnc$_$0,0,1,missing,0,0,2.7944666666666667,0.0,1,auxiliary_only
-ri04Z7vwnc$_$2,0,0,unresolved,0,2.2560000000000002,3.75,0.0,1,auxiliary_only
-ri04Z7vwnc$_$5,0,0,unresolved,0,3.5035111111111115,0,0.0,1,auxiliary_only
-s9qJ7ATP7w$_$0,1,0,unresolved,0,6.866666666666666,0,0.0,1,auxiliary_only
-s9qJ7ATP7w$_$1,1,0,partially_verified,1.0,3.7666666666666666,0,0.2097902097902098,1,auxiliary_only
-s9qJ7ATP7w$_$4,1,0,partially_verified,0.75,2.8999999999999995,0.75,0.17045454545454547,1,auxiliary_only
-s9qJ7ATP7w$_$5,0,0,unresolved,0,8.5,0.033333333333333215,0.0,1,auxiliary_only
-s9qJ7ATP7w$_$6,0,0,unresolved,0,2.2166666666666663,0.25,0.0,1,auxiliary_only
-s9qJ7ATP7w$_$7,1,0,unresolved,0,5.433333333333333,1.5,0.0,1,auxiliary_only
-s9qJ7ATP7w$_$8,1,0,partially_verified,0.5,2.7666666666666666,0,0.15306122448979592,1,auxiliary_only
-t217m2on-s$_$2,0,0,partially_verified,4.5,1.166666666666666,0,0.7941176470588236,1,auxiliary_only
-t217m2on-s$_$7,0,0,partially_verified,9.0,8.166666666666664,0,0.5242718446601943,1,auxiliary_only
-tANM6ETl_M$_$3,1,0,partially_verified,5.25,1.4833333333333334,0,0.7797029702970297,1,auxiliary_only
-tPCytz4rww$_$10,0,0,fully_verified,4.75,0.016666666666666607,0,0.9965034965034966,1,auxiliary_only
-tPCytz4rww$_$11,0,0,fully_verified,5.466666666666667,0,0,1.0,1,auxiliary_only
-tPCytz4rww$_$12,0,0,fully_verified,11.0,0.8333333333333339,0,0.9295774647887324,1,auxiliary_only
-tPCytz4rww$_$16,0,0,partially_verified,5.75,1.4500000000000002,0,0.798611111111111,1,auxiliary_only
-tPCytz4rww$_$18,0,0,fully_verified,5.883333333333333,0.75,0,0.8869346733668342,1,auxiliary_only
-uywlfIYOS8$_$4,0,0,fully_verified,5.0,1.0333333333333332,0,0.8287292817679558,1,auxiliary_only
-vxjVxOeScU$_$4,0,0,unresolved,0,9.1,0,0.0,1,auxiliary_only
-wMB_hJL-3o$_$7,1,0,fully_verified,5.25,0.7833333333333332,0,0.8701657458563536,1,auxiliary_only
-wny0OAz3g8$_$0,1,0,fully_verified,2.75,0.583333333333333,0,0.8250000000000001,1,auxiliary_only
-wny0OAz3g8$_$1,1,0,fully_verified,6.5,0.33333333333333304,0,0.951219512195122,1,auxiliary_only
-wny0OAz3g8$_$2,1,0,partially_verified,5.25,1.416666666666666,0,0.7875000000000001,1,auxiliary_only
-wny0OAz3g8$_$3,1,0,partially_verified,4.0,2.133333333333333,0,0.6521739130434783,1,auxiliary_only
-wny0OAz3g8$_$5,1,0,fully_verified,6.25,0.6499999999999995,0,0.9057971014492754,1,auxiliary_only
-wny0OAz3g8$_$7,1,0,fully_verified,7.25,0.8166666666666664,0,0.8987603305785125,1,auxiliary_only
-wny0OAz3g8$_$9,1,0,fully_verified,5.25,0.9500000000000002,0,0.8467741935483871,1,auxiliary_only
-yRb-Jum7EQ$_$1,1,0,unresolved,0,29.266666666666666,0,0.0,1,auxiliary_only
-yRb-Jum7EQ$_$5,1,0,partially_verified,1.25,11.916666666666666,0,0.0949367088607595,1,auxiliary_only
-yRb-Jum7EQ$_$6,0,0,partially_verified,0.5,10.742539682539682,0,0.04447393686112837,1,auxiliary_only
