sample_id,sample_index,status,transcript_source,word_count,timed_word_count,aligned_word_fraction,error_type,error
-UuX1xuaiiE$_$3,35,ok,official_manifest_raw_text,9,9,1.0,,
-UuX1xuaiiE$_$6,36,ok,official_manifest_raw_text,22,22,1.0,,
-a55Q6RWvTA$_$3,37,ok,official_manifest_raw_text,65,65,1.0,,
-aNfi7CP8vM$_$7,38,ok,official_manifest_raw_text,18,18,1.0,,
-aqamKhZ1Ec$_$0,39,ok,official_manifest_raw_text,14,14,1.0,,
-dxfTGcXJoc$_$0,40,ok,official_manifest_raw_text,41,41,1.0,,
-dxfTGcXJoc$_$1,41,ok,official_manifest_raw_text,36,36,1.0,,
-dxfTGcXJoc$_$2,42,ok,official_manifest_raw_text,34,34,1.0,,
-dxfTGcXJoc$_$6,43,ok,official_manifest_raw_text,27,27,1.0,,
-egA8-b7-3M$_$1,44,ok,official_manifest_raw_text,20,20,1.0,,
-egA8-b7-3M$_$13,45,ok,official_manifest_raw_text,11,11,1.0,,
-egA8-b7-3M$_$16,46,ok,official_manifest_raw_text,11,11,1.0,,
-egA8-b7-3M$_$17,47,ok,official_manifest_raw_text,16,16,1.0,,
-egA8-b7-3M$_$18,48,ok,official_manifest_raw_text,22,22,1.0,,
-egA8-b7-3M$_$20,49,ok,official_manifest_raw_text,20,20,1.0,,
-egA8-b7-3M$_$26,50,ok,official_manifest_raw_text,15,15,1.0,,
-egA8-b7-3M$_$6,51,ok,official_manifest_raw_text,12,12,1.0,,
-egA8-b7-3M$_$9,52,ok,official_manifest_raw_text,10,10,1.0,,
-hnBHBN8p5A$_$6,53,ok,official_manifest_raw_text,13,13,1.0,,
-hnBHBN8p5A$_$7,54,ok,official_manifest_raw_text,13,13,1.0,,
-iRBcNs9oI8$_$3,55,ok,official_manifest_raw_text,8,8,1.0,,
-iRBcNs9oI8$_$6,56,ok,official_manifest_raw_text,5,5,1.0,,
-iRBcNs9oI8$_$7,57,ok,official_manifest_raw_text,9,9,1.0,,
-iRBcNs9oI8$_$8,58,ok,official_manifest_raw_text,21,21,1.0,,
-iRBcNs9oI8$_$9,59,ok,official_manifest_raw_text,5,5,1.0,,
-lzEya4AM_4$_$5,60,ok,official_manifest_raw_text,19,19,1.0,,
-lzEya4AM_4$_$6,61,ok,official_manifest_raw_text,43,43,1.0,,
-mJ2ud6oKI8$_$1,62,ok,official_manifest_raw_text,13,13,1.0,,
-mJ2ud6oKI8$_$2,63,ok,official_manifest_raw_text,11,11,1.0,,
-mJ2ud6oKI8$_$6,64,ok,official_manifest_raw_text,5,5,1.0,,
-mJ2ud6oKI8$_$8,65,ok,official_manifest_raw_text,11,11,1.0,,
-mJ2ud6oKI8$_$9,66,ok,official_manifest_raw_text,22,22,1.0,,
-mqbVkbCndg$_$0,67,ok,official_manifest_raw_text,12,12,1.0,,
-qDkUB0GgYY$_$6,68,ok,official_manifest_raw_text,16,16,1.0,,
-ri04Z7vwnc$_$0,69,ok,official_manifest_raw_text,8,8,1.0,,
-ri04Z7vwnc$_$2,70,ok,official_manifest_raw_text,16,16,1.0,,
-ri04Z7vwnc$_$5,71,ok,official_manifest_raw_text,9,9,1.0,,
-s9qJ7ATP7w$_$0,72,ok,official_manifest_raw_text,24,24,1.0,,
-s9qJ7ATP7w$_$1,73,ok,official_manifest_raw_text,11,11,1.0,,
-s9qJ7ATP7w$_$4,74,ok,official_manifest_raw_text,9,9,1.0,,
-s9qJ7ATP7w$_$5,75,ok,official_manifest_raw_text,19,19,1.0,,
-s9qJ7ATP7w$_$6,76,ok,official_manifest_raw_text,5,5,1.0,,
-s9qJ7ATP7w$_$7,77,ok,official_manifest_raw_text,28,28,1.0,,
-s9qJ7ATP7w$_$8,78,ok,official_manifest_raw_text,13,13,1.0,,
-t217m2on-s$_$2,79,ok,official_manifest_raw_text,12,12,1.0,,
-t217m2on-s$_$7,80,ok,official_manifest_raw_text,45,45,1.0,,
-tANM6ETl_M$_$3,81,ok,official_manifest_raw_text,22,22,1.0,,
-tPCytz4rww$_$10,82,ok,official_manifest_raw_text,12,12,1.0,,
-tPCytz4rww$_$11,83,ok,official_manifest_raw_text,17,17,1.0,,
-tPCytz4rww$_$12,84,ok,official_manifest_raw_text,26,26,1.0,,
-tPCytz4rww$_$16,85,ok,official_manifest_raw_text,16,16,1.0,,
-tPCytz4rww$_$18,86,ok,official_manifest_raw_text,16,16,1.0,,
-uywlfIYOS8$_$4,87,ok,official_manifest_raw_text,18,18,1.0,,
-vxjVxOeScU$_$4,88,ok,official_manifest_raw_text,21,21,1.0,,
-wMB_hJL-3o$_$7,89,ok,official_manifest_raw_text,22,22,1.0,,
-wny0OAz3g8$_$0,90,ok,official_manifest_raw_text,9,9,1.0,,
-wny0OAz3g8$_$1,91,ok,official_manifest_raw_text,23,23,1.0,,
-wny0OAz3g8$_$2,92,ok,official_manifest_raw_text,23,23,1.0,,
-wny0OAz3g8$_$3,93,ok,official_manifest_raw_text,20,20,1.0,,
-wny0OAz3g8$_$5,94,ok,official_manifest_raw_text,20,20,1.0,,
-wny0OAz3g8$_$7,95,ok,official_manifest_raw_text,29,29,1.0,,
-wny0OAz3g8$_$9,96,ok,official_manifest_raw_text,20,20,1.0,,
-yRb-Jum7EQ$_$1,97,ok,official_manifest_raw_text,49,49,1.0,,
-yRb-Jum7EQ$_$5,98,ok,official_manifest_raw_text,25,25,1.0,,
-yRb-Jum7EQ$_$6,99,ok,official_manifest_raw_text,19,19,1.0,,
