sample_id,segment_id,start,end,visual_status,active_cluster,candidate_action,av_sync_evidence,quality_flag
-571d8cVauQ$_$0,2,2.75,5.166666666666666,no_active,,candidate_mask,neutral,
-571d8cVauQ$_$5,0,0.0,15.266666666666666,no_active,,candidate_mask,neutral,
-6rXp3zJ3kc$_$8,0,0.0,12.25,verified,0,candidate_usable,support,
-6rXp3zJ3kc$_$8,1,12.25,12.799999999999999,no_active,,candidate_mask,neutral,
-9y-fZ3swSY$_$0,0,0.0,6.8999999999999995,no_active,,candidate_mask,neutral,
-9y-fZ3swSY$_$4,0,0.0,2.75,verified,0,candidate_usable,support,
-9y-fZ3swSY$_$4,1,2.75,2.8,missing,,candidate_mask,neutral,
-9y-fZ3swSY$_$8,0,0.0,4.966666666666667,no_active,,candidate_mask,neutral,
-AUZQgSxyPQ$_$2,0,0.0,18.0,no_active,,candidate_mask,neutral,
-AUZQgSxyPQ$_$2,1,18.0,19.5,verified,0,candidate_usable,support,
-AUZQgSxyPQ$_$2,2,19.5,22.5,no_active,,candidate_mask,neutral,
-HeZS2-Prhc$_$2,0,0.0,5.5,verified,0,candidate_usable,support,
-HeZS2-Prhc$_$2,1,5.5,6.0,no_active,,candidate_mask,neutral,
-HeZS2-Prhc$_$2,2,6.0,7.5,verified,0,candidate_usable,support,
-HeZS2-Prhc$_$2,3,7.5,8.233333333333333,no_active,,candidate_mask,neutral,
-HwX2H8Z4hY$_$2,0,0.0,2.5,missing,,candidate_mask,neutral,
-HwX2H8Z4hY$_$2,1,2.5,3.9666666666666663,no_active,,candidate_mask,neutral,
-HwX2H8Z4hY$_$5,0,0.0,1.75,no_active,,candidate_mask,neutral,
-HwX2H8Z4hY$_$5,1,1.75,5.0,missing,,candidate_mask,neutral,
-HwX2H8Z4hY$_$5,2,5.0,5.633333333333333,no_active,,candidate_mask,neutral,
-HwX2H8Z4hY$_$6,0,0.0,1.5,no_active,,candidate_mask,neutral,
-HwX2H8Z4hY$_$6,1,1.5,2.75,missing,,candidate_mask,neutral,
-HwX2H8Z4hY$_$6,2,2.75,3.333333333333333,no_active,,candidate_mask,neutral,
-HwX2H8Z4hY$_$9,0,0.0,1.0,no_active,,candidate_mask,neutral,
-HwX2H8Z4hY$_$9,1,1.0,1.25,verified,0,candidate_usable,neutral,
-HwX2H8Z4hY$_$9,2,1.25,2.75,missing,,candidate_mask,neutral,
-HwX2H8Z4hY$_$9,3,2.75,6.0,no_active,,candidate_mask,neutral,
-HwX2H8Z4hY$_$9,4,6.0,7.733333333333333,verified,0,candidate_usable,neutral,
-I_e4mIh0yE$_$1,0,0.0,0.5,no_active,,candidate_mask,neutral,
-I_e4mIh0yE$_$1,1,0.5,5.75,verified,0,candidate_usable,support,
-I_e4mIh0yE$_$1,2,5.75,7.5,no_active,,candidate_mask,neutral,
-I_e4mIh0yE$_$1,3,7.5,7.6,missing,,candidate_mask,neutral,
-I_e4mIh0yE$_$3,0,0.0,0.5,no_active,,candidate_mask,neutral,
-I_e4mIh0yE$_$3,1,0.5,9.0,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-I_e4mIh0yE$_$3,2,9.0,9.133333333333333,no_active,,candidate_mask,neutral,
-MeTTeMJBNc$_$0,0,0.0,5.5,no_active,,candidate_mask,neutral,
-MeTTeMJBNc$_$0,1,5.5,6.0,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-MeTTeMJBNc$_$0,2,6.0,6.75,no_active,,candidate_mask,neutral,
-MeTTeMJBNc$_$0,3,6.75,7.5,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-MeTTeMJBNc$_$0,4,7.5,9.333333333333334,no_active,,candidate_mask,neutral,
-MeTTeMJBNc$_$13,0,0.0,5.3999999999999995,no_active,,candidate_mask,neutral,
-MeTTeMJBNc$_$7,0,0.0,10.5,no_active,,candidate_mask,neutral,
-NFrJFQijFE$_$1,0,0.0,5.720000000000001,missing,,candidate_mask,neutral,
-NFrJFQijFE$_$2,0,0.0,6.840000000000001,missing,,candidate_mask,neutral,
-RfYyzHpjk4$_$11,0,0.0,1.0,no_active,,candidate_mask,neutral,
-RfYyzHpjk4$_$11,1,1.0,2.25,verified,0,candidate_usable,support,
-RfYyzHpjk4$_$11,2,2.25,3.0,no_active,,candidate_mask,neutral,
-RfYyzHpjk4$_$11,3,3.0,3.75,verified,0,candidate_usable,support,
-RfYyzHpjk4$_$11,4,3.75,5.233333333333333,no_active,,candidate_mask,neutral,
-RfYyzHpjk4$_$2,0,0.0,0.5,no_active,,candidate_mask,neutral,
-RfYyzHpjk4$_$2,1,0.5,2.0,verified,0,candidate_usable,support,
-RfYyzHpjk4$_$2,2,2.0,5.5,no_active,,candidate_mask,neutral,
-RfYyzHpjk4$_$8,0,0.0,1.75,no_active,,candidate_mask,neutral,
-RfYyzHpjk4$_$8,1,1.75,2.5,verified,0,candidate_usable,support,
-RfYyzHpjk4$_$8,2,2.5,2.75,no_active,,candidate_mask,neutral,
-RfYyzHpjk4$_$8,3,2.75,3.25,verified,0,candidate_usable,support,
-RfYyzHpjk4$_$8,4,3.25,4.5,no_active,,candidate_mask,neutral,
-RfYyzHpjk4$_$8,5,4.5,4.566666666666666,verified,0,candidate_usable,support,
-THoVjtIkeU$_$12,0,0.0,0.25,no_active,,candidate_mask,neutral,
-THoVjtIkeU$_$12,1,0.25,0.75,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-THoVjtIkeU$_$12,2,0.75,1.25,no_active,,candidate_mask,neutral,
-THoVjtIkeU$_$12,3,1.25,4.75,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-THoVjtIkeU$_$12,4,4.75,14.866666666666667,no_active,,candidate_mask,neutral,
-THoVjtIkeU$_$2,0,0.0,1.0,no_active,,candidate_mask,neutral,
-THoVjtIkeU$_$2,1,1.0,1.25,verified,0,candidate_usable,neutral,
-THoVjtIkeU$_$2,2,1.25,1.75,no_active,,candidate_mask,neutral,
-THoVjtIkeU$_$2,3,1.75,3.5,verified,0,candidate_usable,neutral,
-THoVjtIkeU$_$2,4,3.5,4.266666666666667,no_active,,candidate_mask,neutral,
-THoVjtIkeU$_$6,0,0.0,0.5,no_active,,candidate_mask,neutral,
-THoVjtIkeU$_$6,1,0.5,0.75,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-THoVjtIkeU$_$6,2,0.75,1.75,no_active,,candidate_mask,neutral,
-THoVjtIkeU$_$6,3,1.75,7.75,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-THoVjtIkeU$_$6,4,7.75,8.066666666666666,no_active,,candidate_mask,neutral,
-UUCSKoHeMA$_$0,0,0.0,5.5,no_active,,candidate_mask,neutral,
-UUCSKoHeMA$_$0,1,5.5,7.75,verified,0,candidate_usable,neutral,
-UUCSKoHeMA$_$0,2,7.75,7.866666666666666,no_active,,candidate_mask,neutral,
-UacrmKiTn4$_$10,0,0.0,2.5,no_active,,candidate_mask,neutral,
-UacrmKiTn4$_$10,1,2.5,2.75,verified,0,candidate_usable,neutral,
-UacrmKiTn4$_$10,2,2.75,7.333333333333333,no_active,,candidate_mask,neutral,
-UacrmKiTn4$_$4,0,0.0,1.0,no_active,,candidate_mask,neutral,
-UacrmKiTn4$_$4,1,1.0,1.75,verified,0,candidate_usable,neutral,
-UacrmKiTn4$_$4,2,1.75,2.75,no_active,,candidate_mask,neutral,
-UacrmKiTn4$_$4,3,2.75,3.5,verified,0,candidate_usable,neutral,
-UacrmKiTn4$_$4,4,3.5,4.733333333333333,no_active,,candidate_mask,neutral,
-UuX1xuaiiE$_$0,0,0.0,3.6999999999999997,no_active,,candidate_mask,neutral,
-UuX1xuaiiE$_$1,0,0.0,10.333333333333334,no_active,,candidate_mask,neutral,
-UuX1xuaiiE$_$3,0,0.0,2.5,no_active,,candidate_mask,neutral,
-UuX1xuaiiE$_$3,1,2.5,3.0,verified,0,candidate_usable,neutral,
-UuX1xuaiiE$_$3,2,3.0,4.1,no_active,,candidate_mask,neutral,
-UuX1xuaiiE$_$6,0,0.0,0.75,no_active,,candidate_mask,neutral,
-UuX1xuaiiE$_$6,1,0.75,1.0,verified,0,candidate_usable,neutral,
-UuX1xuaiiE$_$6,2,1.0,2.75,no_active,,candidate_mask,neutral,
-UuX1xuaiiE$_$6,3,2.75,3.5,verified,0,candidate_usable,neutral,
-UuX1xuaiiE$_$6,4,3.5,4.5,no_active,,candidate_mask,neutral,
-UuX1xuaiiE$_$6,5,4.5,5.75,verified,0,candidate_usable,neutral,
-UuX1xuaiiE$_$6,6,5.75,8.1,no_active,,candidate_mask,neutral,
-a55Q6RWvTA$_$3,0,0.0,2.0,no_active,,candidate_mask,neutral,
-a55Q6RWvTA$_$3,1,2.0,4.0,verified,0,candidate_usable,neutral,
-a55Q6RWvTA$_$3,2,4.0,4.25,no_active,,candidate_mask,neutral,
-a55Q6RWvTA$_$3,3,4.25,11.75,verified,0,candidate_usable,neutral,
-a55Q6RWvTA$_$3,4,11.75,12.25,no_active,,candidate_mask,neutral,
-a55Q6RWvTA$_$3,5,12.25,13.0,verified,0,candidate_usable,neutral,
-a55Q6RWvTA$_$3,6,13.0,14.0,no_active,,candidate_mask,neutral,
-a55Q6RWvTA$_$3,7,14.0,20.5,verified,0,candidate_usable,neutral,
-a55Q6RWvTA$_$3,8,20.5,21.0,no_active,,candidate_mask,neutral,
-a55Q6RWvTA$_$3,9,21.0,21.25,verified,0,candidate_usable,neutral,
-a55Q6RWvTA$_$3,10,21.25,22.133333333333333,no_active,,candidate_mask,neutral,
-aNfi7CP8vM$_$7,0,0.0,6.0,no_active,,candidate_mask,neutral,
-aNfi7CP8vM$_$7,1,6.0,7.5,verified,0,candidate_usable,neutral,
-aNfi7CP8vM$_$7,2,7.5,8.5,no_active,,candidate_mask,neutral,
-aNfi7CP8vM$_$7,3,8.5,8.666666666666666,verified,0,candidate_usable,neutral,
-aqamKhZ1Ec$_$0,0,0.0,11.0,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$0,0,0.0,4.25,missing,,candidate_mask,neutral,
-dxfTGcXJoc$_$0,1,4.25,6.75,verified,0,candidate_usable,support,
-dxfTGcXJoc$_$0,2,6.75,7.0,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$0,3,7.0,13.25,verified,0,candidate_usable,support,
-dxfTGcXJoc$_$0,4,13.25,13.75,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$0,5,13.75,19.75,verified,0,candidate_usable,support,
-dxfTGcXJoc$_$0,6,19.75,20.53333333333333,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$1,0,0.0,1.5,verified,0,candidate_usable,support,
-dxfTGcXJoc$_$1,1,1.5,2.0,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$1,2,2.0,8.75,verified,0,candidate_usable,support,
-dxfTGcXJoc$_$1,3,8.75,9.25,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$1,4,9.25,9.5,verified,0,candidate_usable,support,
-dxfTGcXJoc$_$1,5,9.5,9.75,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$1,6,9.75,16.0,verified,0,candidate_usable,support,
-dxfTGcXJoc$_$1,7,16.0,16.133333333333333,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$2,0,0.0,11.5,verified,0,candidate_usable,support,
-dxfTGcXJoc$_$2,1,11.5,11.75,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$2,2,11.75,16.0,verified,0,candidate_usable,support,
-dxfTGcXJoc$_$2,3,16.0,16.666666666666664,no_active,,candidate_mask,neutral,
-dxfTGcXJoc$_$6,0,0.0,11.75,verified,0,candidate_usable,neutral,
-dxfTGcXJoc$_$6,1,11.75,12.733333333333333,no_active,,candidate_mask,neutral,
-egA8-b7-3M$_$1,0,0.0,10.233333333333333,no_active,,candidate_mask,neutral,
-egA8-b7-3M$_$13,0,0.0,4.166666666666666,no_active,,candidate_mask,neutral,
-egA8-b7-3M$_$16,0,0.0,5.533333333333333,no_active,,candidate_mask,neutral,
-egA8-b7-3M$_$17,0,0.0,7.266666666666667,no_active,,candidate_mask,neutral,
-egA8-b7-3M$_$18,0,0.0,8.366666666666667,no_active,,candidate_mask,neutral,
-egA8-b7-3M$_$20,0,0.0,6.633333333333333,no_active,,candidate_mask,neutral,
-egA8-b7-3M$_$26,0,0.0,6.0,no_active,,candidate_mask,neutral,
-egA8-b7-3M$_$6,0,0.0,6.233333333333333,no_active,,candidate_mask,neutral,
-egA8-b7-3M$_$9,0,0.0,5.066666666666666,no_active,,candidate_mask,neutral,
-hnBHBN8p5A$_$6,0,0.0,4.75,no_active,,candidate_mask,neutral,
-hnBHBN8p5A$_$6,1,4.75,5.75,missing,,candidate_mask,neutral,
-hnBHBN8p5A$_$6,2,5.75,6.25,no_active,,candidate_mask,neutral,
-hnBHBN8p5A$_$6,3,6.25,6.381377777777778,missing,,candidate_mask,neutral,
-hnBHBN8p5A$_$7,0,0.0,2.0,no_active,,candidate_mask,neutral,
-hnBHBN8p5A$_$7,1,2.0,3.0,missing,,candidate_mask,neutral,
-hnBHBN8p5A$_$7,2,3.0,7.3406666666666665,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$3,0,0.0,0.25,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$3,1,0.25,1.25,verified,0,candidate_usable,support,
-iRBcNs9oI8$_$3,2,1.25,1.75,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$3,3,1.75,2.25,verified,0,candidate_usable,support,
-iRBcNs9oI8$_$3,4,2.25,3.75,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$3,5,3.75,5.5,verified,0,candidate_usable,support,
-iRBcNs9oI8$_$3,6,5.5,5.605600000000001,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$6,0,0.0,2.25,verified,0,candidate_usable,support,
-iRBcNs9oI8$_$6,1,2.25,2.8695333333333335,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$7,0,0.0,1.5,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-iRBcNs9oI8$_$7,1,1.5,2.25,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$7,2,2.25,4.0,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-iRBcNs9oI8$_$7,3,4.0,4.070733333333334,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$8,0,0.0,2.0,verified,0,candidate_usable,support,
-iRBcNs9oI8$_$8,1,2.0,3.75,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$8,2,3.75,6.75,verified,0,candidate_usable,support,
-iRBcNs9oI8$_$8,3,6.75,8.074733333333334,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$9,0,0.0,0.75,no_active,,candidate_mask,neutral,
-iRBcNs9oI8$_$9,1,0.75,1.25,missing,,candidate_mask,neutral,
-iRBcNs9oI8$_$9,2,1.25,3.4034000000000004,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$5,0,0.0,0.5,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$5,1,0.5,2.75,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-lzEya4AM_4$_$5,2,2.75,3.5,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$5,3,3.5,4.0,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-lzEya4AM_4$_$5,4,4.0,4.75,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$5,5,4.75,7.5,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-lzEya4AM_4$_$5,6,7.5,7.666666666666666,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$6,0,0.0,1.5,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$6,1,1.5,2.25,verified,0,candidate_usable,support,
-lzEya4AM_4$_$6,2,2.25,3.0,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$6,3,3.0,3.25,verified,0,candidate_usable,support,
-lzEya4AM_4$_$6,4,3.25,4.25,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$6,5,4.25,5.0,verified,0,candidate_usable,support,
-lzEya4AM_4$_$6,6,5.0,5.75,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$6,7,5.75,6.25,verified,0,candidate_usable,support,
-lzEya4AM_4$_$6,8,6.25,7.5,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$6,9,7.5,9.0,verified,0,candidate_usable,support,
-lzEya4AM_4$_$6,10,9.0,9.25,no_active,,candidate_mask,neutral,
-lzEya4AM_4$_$6,11,9.25,14.25,verified,0,candidate_usable,support,
-lzEya4AM_4$_$6,12,14.25,14.766666666666666,no_active,,candidate_mask,neutral,
-mJ2ud6oKI8$_$1,0,0.0,6.072733333333334,missing,,candidate_mask,neutral,
-mJ2ud6oKI8$_$2,0,0.0,2.5,missing,,candidate_mask,neutral,
-mJ2ud6oKI8$_$2,1,2.5,5.7057,no_active,,candidate_mask,neutral,
-mJ2ud6oKI8$_$6,0,0.0,2.2355666666666667,no_active,,candidate_mask,neutral,
-mJ2ud6oKI8$_$8,0,0.0,0.5,no_active,,candidate_mask,neutral,
-mJ2ud6oKI8$_$8,1,0.5,2.0,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-mJ2ud6oKI8$_$8,2,2.0,4.171337868480725,no_active,,candidate_mask,neutral,
-mJ2ud6oKI8$_$9,0,0.0,7.007000000000001,no_active,,candidate_mask,neutral,
-mqbVkbCndg$_$0,0,0.0,4.75,verified,0,candidate_usable,neutral,
-mqbVkbCndg$_$0,1,4.75,6.5,no_active,,candidate_mask,neutral,
-qDkUB0GgYY$_$6,0,0.0,4.0,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-qDkUB0GgYY$_$6,1,4.0,4.666666666666666,no_active,,candidate_mask,neutral,
-ri04Z7vwnc$_$0,0,0.0,2.7944666666666667,missing,,candidate_mask,neutral,
-ri04Z7vwnc$_$2,0,0.0,3.75,missing,,candidate_mask,neutral,
-ri04Z7vwnc$_$2,1,3.75,6.006,no_active,,candidate_mask,neutral,
-ri04Z7vwnc$_$5,0,0.0,3.5035111111111115,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$0,0,0.0,6.866666666666666,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$1,0,0.0,3.25,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$1,1,3.25,4.25,verified,0,candidate_usable,support,
-s9qJ7ATP7w$_$1,2,4.25,4.766666666666667,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$4,0,0.0,0.25,missing,,candidate_mask,neutral,
-s9qJ7ATP7w$_$4,1,0.25,2.0,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$4,2,2.0,2.5,missing,,candidate_mask,neutral,
-s9qJ7ATP7w$_$4,3,2.5,3.25,verified,0,candidate_usable,neutral,
-s9qJ7ATP7w$_$4,4,3.25,4.3999999999999995,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$5,0,0.0,8.5,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$5,1,8.5,8.533333333333333,missing,,candidate_mask,neutral,
-s9qJ7ATP7w$_$6,0,0.0,0.25,missing,,candidate_mask,neutral,
-s9qJ7ATP7w$_$6,1,0.25,2.4666666666666663,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$7,0,0.0,0.25,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$7,1,0.25,1.75,missing,,candidate_mask,neutral,
-s9qJ7ATP7w$_$7,2,1.75,6.933333333333333,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$8,0,0.0,1.5,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$8,1,1.5,1.75,verified,0,candidate_usable,neutral,
-s9qJ7ATP7w$_$8,2,1.75,2.5,no_active,,candidate_mask,neutral,
-s9qJ7ATP7w$_$8,3,2.5,2.75,verified,0,candidate_usable,neutral,
-s9qJ7ATP7w$_$8,4,2.75,3.2666666666666666,no_active,,candidate_mask,neutral,
-t217m2on-s$_$2,0,0.0,0.5,no_active,,candidate_mask,neutral,
-t217m2on-s$_$2,1,0.5,5.0,verified,0,candidate_usable,support,
-t217m2on-s$_$2,2,5.0,5.666666666666666,no_active,,candidate_mask,neutral,
-t217m2on-s$_$7,0,0.0,0.5,no_active,,candidate_mask,neutral,
-t217m2on-s$_$7,1,0.5,1.75,verified,0,candidate_usable,support,
-t217m2on-s$_$7,2,1.75,3.25,no_active,,candidate_mask,neutral,
-t217m2on-s$_$7,3,3.25,3.5,verified,0,candidate_usable,support,
-t217m2on-s$_$7,4,3.5,4.0,no_active,,candidate_mask,neutral,
-t217m2on-s$_$7,5,4.0,5.0,verified,0,candidate_usable,support,
-t217m2on-s$_$7,6,5.0,5.5,no_active,,candidate_mask,neutral,
-t217m2on-s$_$7,7,5.5,6.0,verified,0,candidate_usable,support,
-t217m2on-s$_$7,8,6.0,7.0,no_active,,candidate_mask,neutral,
-t217m2on-s$_$7,9,7.0,12.0,verified,0,candidate_usable,support,
-t217m2on-s$_$7,10,12.0,12.75,no_active,,candidate_mask,neutral,
-t217m2on-s$_$7,11,12.75,13.75,verified,0,candidate_usable,support,
-t217m2on-s$_$7,12,13.75,17.166666666666664,no_active,,candidate_mask,neutral,
-tANM6ETl_M$_$3,0,0.0,4.75,verified,0,candidate_usable,neutral,
-tANM6ETl_M$_$3,1,4.75,5.5,no_active,,candidate_mask,neutral,
-tANM6ETl_M$_$3,2,5.5,6.0,verified,0,candidate_usable,neutral,
-tANM6ETl_M$_$3,3,6.0,6.733333333333333,no_active,,candidate_mask,neutral,
-tPCytz4rww$_$10,0,0.0,4.75,verified,0,candidate_usable,support,
-tPCytz4rww$_$10,1,4.75,4.766666666666667,no_active,,candidate_mask,neutral,
-tPCytz4rww$_$11,0,0.0,5.466666666666667,verified,0,candidate_usable,neutral,
-tPCytz4rww$_$12,0,0.0,11.0,verified,0,candidate_usable,neutral,
-tPCytz4rww$_$12,1,11.0,11.833333333333334,no_active,,candidate_mask,neutral,
-tPCytz4rww$_$16,0,0.0,2.5,verified,0,candidate_usable,support,
-tPCytz4rww$_$16,1,2.5,3.75,no_active,,candidate_mask,neutral,
-tPCytz4rww$_$16,2,3.75,7.0,verified,0,candidate_usable,support,
-tPCytz4rww$_$16,3,7.0,7.2,no_active,,candidate_mask,neutral,
-tPCytz4rww$_$18,0,0.0,5.75,verified,0,candidate_usable,support,
-tPCytz4rww$_$18,1,5.75,6.5,no_active,,candidate_mask,neutral,
-tPCytz4rww$_$18,2,6.5,6.633333333333333,verified,0,candidate_usable,support,
-uywlfIYOS8$_$4,0,0.0,2.5,verified,0,candidate_usable,neutral,
-uywlfIYOS8$_$4,1,2.5,2.75,no_active,,candidate_mask,neutral,
-uywlfIYOS8$_$4,2,2.75,5.25,verified,0,candidate_usable,neutral,
-uywlfIYOS8$_$4,3,5.25,6.033333333333333,no_active,,candidate_mask,neutral,
-vxjVxOeScU$_$4,0,0.0,9.1,no_active,,candidate_mask,neutral,
-wMB_hJL-3o$_$7,0,0.0,5.25,verified,0,candidate_usable,neutral,
-wMB_hJL-3o$_$7,1,5.25,6.033333333333333,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$0,0,0.0,2.75,verified,0,candidate_usable,neutral,
-wny0OAz3g8$_$0,1,2.75,3.333333333333333,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$1,0,0.0,0.25,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$1,1,0.25,6.75,verified,0,candidate_usable,support,
-wny0OAz3g8$_$1,2,6.75,6.833333333333333,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$2,0,0.0,0.25,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$2,1,0.25,5.5,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-wny0OAz3g8$_$2,2,5.5,6.666666666666666,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$3,0,0.0,0.5,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$3,1,0.5,4.5,verified,0,candidate_usable,neutral,
-wny0OAz3g8$_$3,2,4.5,6.133333333333333,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$5,0,0.0,6.25,verified,0,candidate_usable,conflict,talknet_av_sync_conflict
-wny0OAz3g8$_$5,1,6.25,6.8999999999999995,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$7,0,0.0,7.25,verified,0,candidate_usable,neutral,
-wny0OAz3g8$_$7,1,7.25,8.066666666666666,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$9,0,0.0,0.25,no_active,,candidate_mask,neutral,
-wny0OAz3g8$_$9,1,0.25,5.5,verified,0,candidate_usable,neutral,
-wny0OAz3g8$_$9,2,5.5,6.2,no_active,,candidate_mask,neutral,
-yRb-Jum7EQ$_$1,0,0.0,29.266666666666666,no_active,,candidate_mask,neutral,
